mode,combo,prompt_tokens,gen_tokens,tok_s,avg_W,energy_J,tok_J,n
25W,pp256+tg128,256,128,25.615,3.218,16.091,7.960,19
25W,pp256+tg256,256,256,25.863,3.218,31.859,8.037,19
25W,pp256+tg512,256,512,25.898,3.218,63.615,8.048,19
25W,pp512+tg128,512,128,24.521,3.218,16.803,7.620,19
25W,pp512+tg256,512,256,25.236,3.218,32.653,7.842,19
25W,pp512+tg512,512,512,25.485,3.218,64.659,7.919,19
25W,pp1024+tg128,1024,128,22.720,3.218,18.129,7.060,19
25W,pp1024+tg256,1024,256,24.029,3.218,34.283,7.467,19
25W,pp1024+tg512,1024,512,24.613,3.218,66.941,7.648,19
25W,pp2048+tg128,2048,128,19.721,3.218,20.892,6.128,19
25W,pp2048+tg256,2048,256,21.857,3.218,37.694,6.792,19
25W,pp2048+tg512,2048,512,22.983,3.218,71.692,7.142,19
